sequence,SYS_ID,NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PRES_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,BEG_CHG_TY,END_YR,END_RULE,END_CHG_TY,NOTE_ID,OBJ_TYPE,GEO_SRC,COMPILER,GEOCOMP,CHECKER,ENT_DATE,FILENAME,X_Y_TYPE,SYS_ID_IN_MAIN_BOU_ID,SYS_ID_IN_MAIN_PT_ID
1672,1788,Xizang,西藏,西藏,0,0,,,,,1820,9,,1820,9,,0,POLYGON,FROM_TAN,,傅林祥/余慰,,,PII_Boun_1820_Fu,,FALSE,FALSE
1693,1809,Sanyinruoyanbu,三音诺颜部,三音諾顏部,0,0,,Meng,盟,3,1820,9,,1820,9,,0,POLYGON,FROM_TAN,,傅林祥/余慰,,,PII_Boun_1820_Fu,,FALSE,FALSE
1882,2000,Jianning Fu,建宁府,建寧府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1883,2001,Tingzhou Fu,汀州府,汀州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1884,2002,Shaowu Fu,邵武府,邵武府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1885,2003,Yanping Fu,延平府,延平府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1886,2004,Longyan Zhou,龙岩州,龍岩州,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1887,2005,Yongchun Zhou,永春州,永春州,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1888,2006,Quanzhou Fu,泉州府,泉州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1889,2007,Xinghua Fu,兴化府,興化府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1890,2008,Fuzhou Fu,福州府,福州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1891,2009,Zhangzhou Fu,漳州府,漳州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1892,2010,Funing Fu,福宁府,福寧府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,PII_Boun_1820_Fu,,FALSE,FALSE
1893,2011,Chuzhou Fu,处州府,處州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/06/23,PII_Boun_1820_Fu,,FALSE,FALSE
1894,2012,Wenzhou Fu,温州府,溫州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/06/23,PII_Boun_1820_Fu,,FALSE,FALSE
1895,2013,Taizhou Fu,台州府,台州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,孟刚,孟刚,,,PII_Boun_1820_Fu,,FALSE,FALSE
1896,2014,Ningpo Fu,宁波府,寧波府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,孟刚,孟刚,,,PII_Boun_1820_Fu,,FALSE,FALSE
1897,2015,Quzhou Fu,衢州府,衢州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,孟刚,孟刚,,,PII_Boun_1820_Fu,,FALSE,FALSE
1898,2016,Jinhua Fu,金华府,金華府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,孟刚,孟刚,,,PII_Boun_1820_Fu,,FALSE,FALSE
1899,2017,Hangzhou Fu,杭州府,杭州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,钱林书,满志敏,,,PII_Boun_1820_Fu,,FALSE,FALSE
1900,2018,Jiaxing Fu,嘉兴府,嘉興府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,钱林书,钱林书,,,PII_Boun_1820_Fu,,FALSE,FALSE
1901,2019,Yanzhou Fu,严州府,嚴州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,张修桂,满志敏,,,PII_Boun_1820_Fu,,FALSE,FALSE
1902,2020,Huzhou Fu,湖州府,湖州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,邹逸麟,邹逸麟,,,PII_Boun_1820_Fu,,FALSE,FALSE
1903,2021,Shaoxing Fu,绍兴府,紹興府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,孟刚,孟刚,,,PII_Boun_1820_Fu,,FALSE,FALSE
1907,2025,Zhenjiang Fu,镇江府,鎮江府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,赵永复,赵永复,,,PII_Boun_1820_Fu,,FALSE,FALSE
1908,2026,Changzhou Fu,常州府,常州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,赵永复,赵永复,,,PII_Boun_1820_Fu,,FALSE,FALSE
1909,2027,Suzhou Fu,苏州府,蘇州府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,张修桂,张修桂,,,PII_Boun_1820_Fu,,FALSE,FALSE
1910,2028,Taicang Zhou,太仓州,太倉州,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,王文楚,王文楚,,,PII_Boun_1820_Fu,,FALSE,FALSE
1911,2029,Jiangning Fu,江宁府,江寧府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,王文楚,王文楚,,,PII_Boun_1820_Fu,,FALSE,FALSE
1912,2030,Songjiang Fu,松江府,松江府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_FD,傅林祥,傅林祥,,,PII_Boun_1820_Fu,,FALSE,FALSE
1983,2102,Nibuchu,中俄尼布楚条约待议地区,中俄尼布楚條約待議地區,0,0,,,非政区辖地,,1820,9,,1820,9,,0,POLYGON,FROM_TAN,,傅林祥/余慰,,,PII_Boun_1820_Fu,,FALSE,FALSE
1984,2103,Wanlichangsha,万里长沙,萬里長沙,0,0,,,非政区辖地,,1820,9,,1820,9,,0,POLYGON,FROM_TAN,,傅林祥/余慰,,,PII_Boun_1820_Fu,,FALSE,FALSE
1985,2104,Qianlishitang,千里石塘,千里石塘,0,0,,,非政区辖地,,1820,9,,1820,9,,0,POLYGON,FROM_TAN,,傅林祥/余慰,,,PII_Boun_1820_Fu,,FALSE,FALSE
1986,2107,Dongsha,东沙,東沙,0,0,,,非政区辖地,,1820,9,,1820,9,,0,POLYGON,FROM_TAN,,傅林祥/余慰,,,PII_Boun_1820_Fu,,FALSE,FALSE
1987,2108,Taiwan Fu,台湾府,臺灣府,0,0,,Fu,府,3,1820,9,,1820,9,,0,POLYGON,FROM_TAN,,傅林祥/余慰,,,PII_Boun_1820_Fu,,FALSE,FALSE
8107,195005,Fujian,福建,福建,0,0,,Sheng,省,1,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2003/03/10,Province_1911_Bou,,FALSE,FALSE
8114,195014,Taiwan(Japan Occupied),台湾(日本占领),臺灣(日本佔領),0,0,,Sheng,省,1,1911,9,,1911,9,,120014,POLYGON,FROM_FD,,满志敏,满志敏,2005/01/03,Province_1911_bou,,FALSE,FALSE
8122,195023,Neimenggu,内蒙古,內蒙古,0,0,,Shengji,省级,1,1911,9,,1911,9,,120023,POLYGON,FROM_FD,孙涛,孙涛,,2008/07/20,Province_1911_Bou,,FALSE,FALSE
8124,195025,Qinghai,青海,青海,0,0,,Shengji,省级,1,1911,9,,1911,9,,120025,POLYGON,FROM_FD,孙涛,孙涛,,2008/07/21,Province_1911_Bou,,FALSE,FALSE
8187,195161,Zhangzhou Fu,漳州府,漳州府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8188,195162,Tingzhou Fu,汀州府,汀州府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8189,195163,Quanzhou Fu,泉州府,泉州府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8190,195164,Longyan Zhou,龙岩州,龍岩州,0,0,,Zhilizhou,直隶州,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8191,195165,Xinghua Fu,兴化府,興化府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8192,195166,Fuzhou Fu,福州府,福州府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8193,195167,Funing Fu,福宁府,福寧府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8194,195168,Jianning Fu,建宁府,建寧府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8195,195169,Shaowu Fu,邵武府,邵武府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
8196,195170,Yanping Fu,延平府,延平府,0,0,,Fu,府,3,1911,9,,1911,9,,0,POLYGON,FROM_FD,满志敏,满志敏,,2002/07/10,Prefecture_1911_Bou,,FALSE,FALSE
