,NAME_PY,NAME_CH,NAME_FT,PRES_LOC,BEG_CHG_TY,END_CHG_TY,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,END_YR,BOU_NOTE_ID,PT_NOTE_ID,BOU_ID,PT_ID,X_COOR,Y_COOR,BOU_ID_IN_GISINFO_SYS_ID,PT_ID_IN_GISINFO_SYS_ID,ISSUE?,BOU_ID_EQUALS_PT_ID
10640,Chaha'er,察哈尔,察哈爾,,,,Meng,盟,3,1820,1820,0,25000,25100,25100,0,0,0,0,1,1
10641,Zhuosuotu Meng,卓索图盟,卓索圖盟,,,,Meng,盟,3,1820,1820,0,25000,25101,25101,0,0,0,0,1,1
12682,Guilin Jun,桂林郡,桂林郡,今广西桂平县西南白沙镇,新建,辖区缩小,Jun,郡,3,-214,-207,0,93250,0,35000,109.92657,23.21534,0,0,1,0
12683,Guilin Jun,桂林郡,桂林郡,今广西桂平县西南白沙镇,辖区缩小,撤销,Jun,郡,3,-206,-111,0,93251,0,35001,109.92657,23.21534,0,0,1,0
12684,Xiang Jun,象郡,象郡,今广西崇左县,新建,辖区缩小,Jun,郡,3,-214,-111,0,93252,0,35002,107.35506,22.4202,0,0,1,0
12685,Xiang Jun,象郡,象郡,今广西崇左县,辖区缩小,撤销,Jun,郡,3,-110,-77,0,93253,0,35003,107.35506,22.4202,0,0,1,0
12686,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,新建,辖区扩大,Jun,郡,3,-110,-77,0,93254,0,35004,109.92657,23.21534,0,0,1,0
12687,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,辖区扩大,更名,Jun,郡,3,-76,13,0,93255,0,35005,109.92657,23.21534,0,0,1,0
12688,Yuping Jun,郁平郡,郁平郡,今广西桂平县西南白沙镇,更名,更名,Jun,郡,3,14,22,0,93256,0,35006,109.92657,23.21534,0,0,1,0
12689,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,更名,辖区缩小,Jun,郡,3,23,217,0,93257,0,35007,109.92657,23.21534,0,0,1,0
12690,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,辖区缩小,辖区缩小,Jun,郡,3,218,273,0,93258,0,35008,109.92657,23.21534,0,0,1,0
12691,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,辖区缩小,辖区扩大,Jun,郡,3,274,279,0,93259,0,35009,109.92657,23.21534,0,0,1,0
12692,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,辖区扩大,辖区缩小,Jun,郡,3,280,317,0,93260,0,35010,109.92657,23.21534,0,0,1,0
12693,Guilin Jun,桂林郡,桂林郡,今广西象州县北运江镇,新建,辖区缩小,Jun,郡,3,274,279,0,93261,0,35011,109.71843,24.14619,0,0,1,0
12694,Guilin Jun,桂林郡,桂林郡,今广西柳州市东南羊角山乡,辖区缩小,治所迁移且辖区扩大,Jun,郡,3,280,419,0,93262,0,35012,109.42986,24.27947,0,0,1,0
12695,Guilin Jun,桂林郡,桂林郡,今广西武宣县西南禄新乡,治所迁移且辖区扩大,辖区扩大,Jun,郡,3,420,456,0,93263,0,35013,109.53627,23.53788,0,0,1,0
12696,Guilin Jun,桂林郡,桂林郡,今广西武宣县西南禄新乡,辖区扩大,治所迁移,Jun,郡,3,457,478,0,93264,0,35014,109.53627,23.53788,0,0,1,0
12697,Hepu Shuguoduwei,合浦属国都尉,合浦屬國都尉,今广西横县东北云表镇,新建,更名,Shuguoduwei,属国都尉,3,263,285,0,93265,0,35015,109.3873,22.91329,0,0,1,0
12698,Ningpu Jun,宁浦郡,寧浦郡,今广西横县郁江南岸,更名,治所迁移,Jun,郡,3,286,419,0,93266,0,35016,109.2594,22.6792,0,0,1,0
12699,Shian Jun,始安郡,始安郡,今广西桂林市,新建,辖区扩大,Jun,郡,3,265,283,0,93267,0,35017,110.28626,25.28006,0,0,1,0
12700,Shian Jun,始安郡,始安郡,今广西桂林市,辖区扩大,更名且辖区扩大,Jun,郡,3,284,464,0,93268,0,35018,110.28626,25.28006,0,0,1,0
12701,Shijian Jun,始建郡,始建郡,今广西桂林市,更名且辖区扩大,更名,Jun,郡,3,465,478,0,93269,0,35019,110.28626,25.28006,0,0,1,0
12702,Shian Jun,始安郡,始安郡,今广西桂林市,更名,辖区缩小,Jun,郡,3,479,541,0,93270,0,35020,110.28626,25.28006,0,0,1,0
12703,Linhe Jun,临贺郡,臨賀郡,今广西贺县东南贺街镇,新建,辖区缩小,Jun,郡,3,226,437,0,93271,0,35021,111.65885,24.33682,0,0,1,0
12704,Linhe Jun,临贺郡,臨賀郡,今广西贺县东南贺街镇,辖区缩小,辖区扩大,Jun,郡,3,438,456,0,93272,0,35022,111.65885,24.33682,0,0,1,0
12705,Linhe Jun,临贺郡,臨賀郡,今广西贺县东南贺街镇,辖区扩大,更名,Jun,郡,3,457,464,0,93273,0,35023,111.65885,24.33682,0,0,1,0
12706,Linhe Jun,临贺郡,臨賀郡,今广西贺县东南贺街镇,更名,辖区缩小,Jun,郡,3,479,501,0,93275,0,35025,111.65885,24.33682,0,0,1,0
12707,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,更名,辖区扩大,Jun,郡,3,23,219,0,93279,0,35029,111.30857,23.4869,0,0,1,0
12708,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区扩大,辖区缩小,Jun,郡,3,220,225,0,93280,0,35030,111.30857,23.4869,0,0,1,0
12709,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区缩小,辖区缩小,Jun,郡,3,226,283,0,93281,0,35031,111.30857,23.4869,0,0,1,0
12710,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区缩小,辖区缩小,Jun,郡,3,284,350,0,93282,0,35032,111.30857,23.4869,0,0,1,0
12711,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区缩小,辖区缩小,Jun,郡,3,351,360,0,93283,0,35033,111.30857,23.4869,0,0,1,0
12712,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区缩小,辖区缩小,Jun,郡,3,361,424,0,93284,0,35034,111.30857,23.4869,0,0,1,0
12713,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区缩小,辖区变化,Jun,郡,3,425,464,0,93285,0,35035,111.30857,23.4869,0,0,1,0
12714,Cangwu Jun,苍梧郡,蒼梧郡,今广西梧州市,辖区变化,辖区缩小,Jun,郡,3,465,501,0,93286,0,35036,111.30857,23.4869,0,0,1,0
12715,Yongping Jun,永平郡,永平郡,今广西藤县西北蒙江镇,新建,辖区扩大,Jun,郡,3,361,424,0,93287,0,35037,110.73591,23.47564,0,0,1,0
12716,Yongping Jun,永平郡,永平郡,今广西藤县西北蒙江镇,辖区扩大,治所迁移,Jun,郡,3,425,478,0,93288,0,35038,110.73591,23.47564,0,0,1,0
12717,Yongping Jun,永平郡,永平郡,今广西藤县容江东岸,治所迁移,辖区缩小,Jun,郡,3,479,501,0,93289,0,35039,110.91352,23.37851,0,0,1,0
12718,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,更名,辖区扩大,Jun,郡,3,23,217,0,93292,0,35042,109.47007,21.91326,0,0,1,0
12719,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区扩大,辖区缩小,Jun,郡,3,218,219,0,93293,0,35043,109.47007,21.91326,0,0,1,0
12720,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区缩小,更名且治所迁移,Jun,郡,3,220,227,0,93294,0,35044,109.47007,21.91326,0,0,1,0
12721,Zhuguan Jun,珠官郡,珠官郡,今广西合浦县东北古城村,更名且治所迁移,辖区缩小,Jun,郡,3,228,241,0,93295,0,35045,109.26449,21.76077,0,0,1,0
12722,Zhuguan Jun,珠官郡,珠官郡,今广西合浦县东北古城村,辖区缩小,更名且治所迁移,Jun,郡,3,242,255,0,93296,0,35046,109.26449,21.76077,0,0,1,0
12723,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,更名且治所迁移,辖区缩小,Jun,郡,3,256,262,0,93297,0,35047,109.47007,21.91326,0,0,1,0
12724,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区缩小,辖区扩大,Jun,郡,3,263,279,0,93298,0,35048,109.47007,21.91326,0,0,1,0
12725,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区扩大,辖区缩小,Jun,郡,3,280,419,0,93299,0,35049,109.47007,21.91326,0,0,1,0
12726,Hepu Jun,合浦郡,合浦郡,今广西浦北县南旧州村,辖区缩小,辖区缩小,Jun,郡,3,420,470,0,93300,0,35050,109.47007,21.91326,0,0,1,0
12727,Jinxing Jun,晋兴郡,晉興郡,今广西武鸣县治,新建,辖区缩小,Jun,郡,3,318,419,0,93301,0,35051,108.27629,23.16677,0,0,1,0
12728,Jinxing Jun,晋兴郡,晉興郡,今广西武鸣县治,辖区缩小,辖区扩大,Jun,郡,3,420,423,0,93302,0,35052,108.27629,23.16677,0,0,1,0
12729,Jinxing Jun,晋兴郡,晉興郡,今广西武鸣县治,辖区扩大,辖区缩小,Jun,郡,3,424,478,0,93303,0,35053,108.27629,23.16677,0,0,1,0
12730,Jinxing Jun,晋兴郡,晉興郡,今广西武鸣县治,辖区缩小,撤销,Jun,郡,3,479,589,0,93304,0,35054,108.27629,23.16677,0,0,1,0
12731,Ningpu Jun,宁浦郡,寧浦郡,今广西横县西平塘村,治所迁移且辖区扩大,辖区缩小,Jun,郡,3,420,423,0,93305,0,35055,109.05605,22.64545,0,0,1,0
12732,Ningpu Jun,宁浦郡,寧浦郡,今广西横县西平塘村,辖区缩小,治所迁移且辖区扩大,Jun,郡,3,424,478,0,93306,0,35056,109.05605,22.64545,0,0,1,0
12733,Ningpu Jun,宁浦郡,寧浦郡,今横县西北石塘镇,治所迁移且辖区扩大,治所迁移且辖区缩小,Jun,郡,3,479,501,0,93307,0,35057,109.07169,22.89284,0,0,1,0
12734,Ningpu Jun,宁浦郡,寧浦郡,今广西横县邕江南岸,治所迁移且辖区缩小,撤销,Jun,郡,3,502,589,0,93308,0,35058,109.2594,22.6792,0,0,1,0
12735,Jianyang Jun,简阳郡,簡陽郡,今广西横县西平塘村,新建,撤销,Jun,郡,3,502,589,0,93309,0,35059,109.05605,22.64545,0,0,1,0
12736,Leyang Jun,乐阳郡,樂陽郡,今广西横县东周塘村,新建,撤销,Jun,郡,3,502,589,0,93310,0,35060,109.41909,22.73931,0,0,1,0
12737,Lingshan Jun,岭山郡,嶺山郡,今广西横县西飞龙乡,新建,撤销,Jun,郡,3,502,589,0,93311,0,35061,108.9844,22.62106,0,0,1,0
12738,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,辖区缩小,辖区缩小,Jun,郡,3,318,419,0,93312,0,35062,109.92657,23.21534,0,0,1,0
12739,Yulin Jun,郁林郡,郁林郡,今广西桂平县西南白沙镇,辖区缩小,治所迁移且小区缩小,Jun,郡,3,420,501,0,93313,0,35063,109.92657,23.21534,0,0,1,0
