CHILD_ID,CHILD_NMPY,CHILD_NMCH,CHILD_NMFT,BEG_YR,END_YR,PRT_NMPY,PRT_NMCH,PRT_ID
30000,Fujian Lu,福建路,福建路,985,1022,Beisong,北宋,113636
30001,Fujian Lu,福建路,福建路,1023,1125,Beisong,北宋,113636
30002,Fujian Lu,福建路,福建路,1126,1126,Beisong,北宋,113636
30002,Fujian Lu,福建路,福建路,1127,1127,Nansong,南宋,113637
30003,Fujian Lu,福建路,福建路,1128,1131,Nansong,南宋,113637
30004,Fujian Lu,福建路,福建路,1132,1132,Nansong,南宋,113637
30005,Fujian Lu,福建路,福建路,1133,1133,Nansong,南宋,113637
30006,Fujian Lu,福建路,福建路,1134,1276,Nansong,南宋,113637
30007,Fujian Xingshe,福建行省,福建行省,1278,1280,Yuan,元,113643
30008,Fujian Xingshe,福建行省,福建行省,1281,1281,Yuan,元,113643
30009,Fujian Xingshe,福建行省,福建行省,1282,1282,Yuan,元,113643
30010,Fujian Xingshe,福建行省,福建行省,1283,1284,Yuan,元,113643
30011,Fujian Jinglue,福建经略使,福建經略使,725,757,Tang,唐,113618
30012,Fujian Sheng,福建省,福建省,1645,1911,Qing,清,113648
30015,Zhejiang Sheng,浙江省,浙江省,1645,1911,Qing,清,113648
30016,Fujian Xingshe,福建行省,福建行省,1286,1296,Yuan,元,113643
30017,Fujian Xingshe,福建行省,福建行省,1297,1298,Yuan,元,113643
30019,Fujian Buzheng,福建布政使司,福建布政使司,1376,1644,Ming,明,113645
30020,Liangzhexinan,两浙西南路,兩浙西南路,978,984,Beisong,北宋,113636
30021,Fujian Dufangy,福建都防御使,福建都防御使,758,759,Tang,唐,113618
30022,Fujian Jiedush,福建节度使,福建節度使,760,770,Tang,唐,113618
30023,Fujian Dutuanl,福建都团练观,福建都團練觀,771,896,Tang,唐,113618
30025,Min Zhou,闽州,閩州,557,563,Nanchao Chen,南朝陈,113690
30026,Feng Zhou,丰州,豐州,568,588,Nanchao Chen,南朝陈,113690
30027,Jianghuai Xing,江淮行省,江淮行省,1276,1278,Yuan,元,113643
30028,Jianghuai Xing,江淮行省,江淮行省,1284,1284,Yuan,元,113643
30029,Nanjing,南京,南京,1368,1377,Ming,明,113644
30030,Jingshi,京师,京師,1378,1402,Ming,明,113644
30031,Nanjing,南京,南京,1403,1424,Ming,明,113645
30032,Jingshi,京师,京師,1425,1440,Ming,明,113645
30033,Nanjing,南京,南京,1441,1643,Ming,明,113645
30033,Nanjing,南京,南京,1644,1644,Qing,清,113647
30034,Jiangnan Sheng,江南省,江南省,1645,1666,Qing,清,113648
30035,Jiangsu Sheng,江苏省,江蘇省,1667,1911,Qing,清,113648
30036,Zhejiang Xings,浙江行省,浙江行省,1368,1375,Ming,明,113644
30037,Zhejiang Buzhe,浙江布政使司,浙江布政使司,1376,1644,Ming,明,113645
30038,Jiangzhe Xings,江浙行省,江浙行省,1286,1286,Yuan,元,113643
30039,ZheJiang Xings,浙江行省,浙江行省,1292,1360,Yuan,元,113643
30040,Jiangnan Xings,江南行省,江南行省,1356,1367,Yuan,元,113643
30041,Jiangnandong L,江南东路,江南東路,976,996,Beisong,北宋,113636
30042,Jiangnan Lu,江南路,江南路,997,1019,Beisong,北宋,113636
30043,Jiangnandong L,江南东路,江南東路,1020,1129,Beisong,北宋,113636
30044,Jiangnan Lu,江南路,江南路,1130,1130,Nansong,南宋,113637
30045,Jiangnandong L,江南东路,江南東路,1131,1275,Nansong,南宋,113637
30046,Liangzhedongbe,两浙东北路,兩浙東北路,978,984,Beisong,北宋,113636
30047,Liangzhe Lu,两浙路,兩浙路,985,1075,Beisong,北宋,113636
30048,Liangzhexi Lu,两浙西路,兩浙西路,1076,1076,Beisong,北宋,113636
30049,Liangzhe Lu,两浙路,兩浙路,1077,1130,Beisong,北宋,113636
30050,Liangzhexi Lu,两浙西路,兩浙西路,1131,1275,Nansong,南宋,113637
30051,Liangzhedong L,两浙东路,兩浙東路,1076,1076,Beisong,北宋,113636
30052,Liangzhedong L,两浙东路,兩浙東路,1131,1275,Nansong,南宋,113637
30053,Yang Zhou,扬州,揚州,188,189,Donghan,东汉,113654
30054,Yang Zhou,扬州,揚州,190,192,Donghan,东汉,113655
30055,Yang Zhou,扬州,揚州,193,194,Donghan,东汉,113655
30056,Yang Zhou,扬州,揚州,212,219,Donghan,东汉,113656
30056,Yang Zhou,扬州,揚州,220,279,Sanguo Wu,三国吴,113659
30056,Yang Zhou,扬州,揚州,280,316,Xijin,西晋,113661
30056,Yang Zhou,扬州,揚州,317,419,Dongjin,东晋,113686
30056,Yang Zhou,扬州,揚州,420,458,Nanchaosong,南朝宋,113687
30057,Wangji,王畿,王畿,459,463,Nanchaosong,南朝宋,113687
30058,Dongyang Zhou,东扬州,東揚州,454,458,Nanchaosong,南朝宋,113687
30059,Yang Zhou,扬州,揚州,459,463,Nanchaosong,南朝宋,113687
30060,Yang Zhou,扬州,揚州,464,478,Nanchaosong,南朝宋,113687
30060,Yang Zhou,扬州,揚州,479,502,Nanchao Qi,南朝齐,113688
30060,Yang Zhou,扬州,揚州,503,556,Nanchao Liang,南朝梁,113689
30060,Yang Zhou,扬州,揚州,557,588,Nanchao Chen,南朝陈,113690
30061,Nanxu Zhou,南徐州,南徐州,431,478,Nanchaosong,南朝宋,113687
30061,Nanxu Zhou,南徐州,南徐州,479,502,Nanchao Qi,南朝齐,113688
30061,Nanxu Zhou,南徐州,南徐州,503,556,Nanchao Liang,南朝梁,113689
