县名,規範碼,舊規範碼,地名分類,緯度,經度,行政區,屬,BEG,END,年代,朝代
藍氏城,PL000000000009,AFBALCB00Z01AA,中研院歷史地名 ,36.8752,67.0556,阿富汗-巴爾赫省(Balkh)-(CharBolak),,-400,-129,（24 ~ 220）,大月氏
高德,PL000000000041,AFKABSD00Z01AA,中研院歷史地名 ,34.5789,69.2041,阿富汗-喀布爾省(Kabul)-(ShakarDara),,-400,-129,（24 ~ 220）,大月氏
薊縣,PL000000000362,CN0110104Z02AA,中研院歷史地名 ,39.8714,116.3671,中國-北京市-市轄區-宣武區,幽州刺史部,24,220,（24 ~ 220）,东汉
良鄉,PL000000000458,CN0110111Z04AA,中研院歷史地名 ,39.6439,116.0815,中國-北京市-市轄區-房山區,幽州刺史部,24,220,（24 ~ 220）,东汉
廣陽,PL000000000464,CN0110111Z10AA,中研院歷史地名 ,39.7549,116.201,中國-北京市-市轄區-房山區,幽州刺史部,24,220,（24 ~ 220）,东汉
狐奴,PL000000000498,CN0110113Z02AA,中研院歷史地名 ,40.1998,116.7611,中國-北京市-市轄區-順義區,幽州刺史部,24,220,（24 ~ 220）,东汉
安樂,PL000000000501,CN0110113Z05AA,中研院歷史地名 ,40.17,116.6065,中國-北京市-市轄區-順義區,幽州刺史部,24,220,（24 ~ 220）,东汉
軍都,PL000000000536,CN0110114Z18AA,中研院歷史地名 ,40.1569,116.2111,中國-北京市-市轄區-昌平區,幽州刺史部,24,220,（24 ~ 220）,东汉
昌平,PL000000000541,CN0110114Z23AA,中研院歷史地名 ,40.1128,116.2762,中國-北京市-市轄區-昌平區,幽州刺史部,24,220,（24 ~ 220）,东汉
平谷,PL000000000577,CN0110117Z05AA,中研院歷史地名 ,40.1764,117.1617,中國-北京市-市轄區-平谷區,幽州刺史部,24,220,（24 ~ 220）,东汉
傂奚,PL000000000595,CN0110228Z08AA,中研院歷史地名 ,40.6592,117.166,中國-北京市-縣-密雲縣,幽州刺史部,24,220,（24 ~ 220）,东汉
獷平,PL000000000604,CN0110228Z17AA,中研院歷史地名 ,40.5952,117.1148,中國-北京市-縣-密雲縣,幽州刺史部,24,220,（24 ~ 220）,东汉
漁陽,PL000000000627,CN0110228Z40AA,中研院歷史地名 ,40.3298,116.7519,中國-北京市-縣-密雲縣,幽州刺史部,24,220,（24 ~ 220）,东汉
居庸,PL000000000655,CN0110229Z20AA,中研院歷史地名 ,40.459,115.9783,中國-北京市-縣-延慶縣,幽州刺史部,24,220,（24 ~ 220）,东汉
雍奴,PL000000000705,CN0120114Z05AA,中研院歷史地名 ,39.5885,117.0257,中國-天津市-市轄區-武清區,幽州刺史部,24,220,（24 ~ 220）,东汉
泉州,PL000000000721,CN0120114Z21AA,中研院歷史地名 ,39.3228,117.0058,中國-天津市-市轄區-武清區,幽州刺史部,24,220,（24 ~ 220）,东汉
無終,PL000000000775,CN0120225Z17AA,中研院歷史地名 ,40.043,117.4118,中國-天津市-縣-薊縣,幽州刺史部,24,220,（24 ~ 220）,东汉
真定,PL000000000791,CN0130102Z02AA,中研院歷史地名 ,38.0911,114.5661,中國-河北省-石家莊市-長安區,冀州刺史部,24,220,（24 ~ 220）,东汉
井陘,PL000000000812,CN0130121Z02AA,中研院歷史地名 ,38.1939,114.0656,中國-河北省-石家莊市-井陘縣,冀州刺史部,24,220,（24 ~ 220）,东汉
新市,PL000000000853,CN0130123Z03AA,中研院歷史地名 ,38.2679,114.6918,中國-河北省-石家莊市-正定縣,冀州刺史部,24,220,（24 ~ 220）,东汉
南行唐,PL000000000888,CN0130125Z06AA,中研院歷史地名 ,38.5591,114.5771,中國-河北省-石家莊市-行唐縣,冀州刺史部,24,220,（24 ~ 220）,东汉
靈壽,PL000000000907,CN0130126Z07AA,中研院歷史地名 ,38.3259,114.306,中國-河北省-石家莊市-靈壽縣,冀州刺史部,24,220,（24 ~ 220）,东汉
高邑,PL000000000930,CN0130127Z09AA,中研院歷史地名 ,37.5848,114.6991,中國-河北省-石家莊市-高邑縣,冀州刺史部,24,220,（24 ~ 220）,东汉
房子,PL000000000931,CN0130127Z10AA,中研院歷史地名 ,37.5839,114.538,中國-河北省-石家莊市-高邑縣,冀州刺史部,24,220,（24 ~ 220）,东汉
南深澤,PL000000000952,CN0130128Z11AA,中研院歷史地名 ,38.1692,115.3338,中國-河北省-石家莊市-深澤縣,冀州刺史部,24,220,（24 ~ 220）,东汉
毋極,PL000000000969,CN0130130Z01AA,中研院歷史地名 ,38.1802,114.8374,中國-河北省-石家莊市-無極縣,冀州刺史部,24,220,（24 ~ 220）,东汉
元氏,PL000000001014,CN0130132Z03AA,中研院歷史地名 ,37.8272,114.4514,中國-河北省-石家莊市-元氏縣,冀州刺史部,24,220,（24 ~ 220）,东汉
欒城,PL000000001041,CN0130133Z08AA,中研院歷史地名 ,37.7579,114.6854,中國-河北省-石家莊市-趙縣,冀州刺史部,24,220,（24 ~ 220）,东汉
平棘,PL000000001055,CN0130133Z22AA,中研院歷史地名 ,37.738,114.806,中國-河北省-石家莊市-趙縣,冀州刺史部,24,220,（24 ~ 220）,东汉
阜城,PL000000001078,CN0130181Z18AA,中研院歷史地名 ,37.6915,115.311,中國-河北省-石家莊市-辛集市,冀州刺史部,24,220,（24 ~ 220）,东汉
九門,PL000000001085,CN0130182Z06AA,中研院歷史地名 ,38.1062,114.7318,中國-河北省-石家莊市-藁城市,冀州刺史部,24,220,（24 ~ 220）,东汉
下曲陽,PL000000001112,CN0130183Z03AA,中研院歷史地名 ,38.0465,114.9898,中國-河北省-石家莊市-晉州市,冀州刺史部,24,220,（24 ~ 220）,东汉
蒲吾,PL000000001144,CN0130185Z02AA,中研院歷史地名 ,38.228,114.2876,中國-河北省-石家莊市-鹿泉市,冀州刺史部,24,220,（24 ~ 220）,东汉
土垠,PL000000001183,CN0130208Z05AA,中研院歷史地名 ,39.8058,118.2097,中國-河北省-唐山市-豐潤區,幽州刺史部,24,220,（24 ~ 220）,东汉
海陽,PL000000001201,CN0130223Z10AA,中研院歷史地名 ,39.6997,118.6354,中國-河北省-唐山市-灤縣,幽州刺史部,24,220,（24 ~ 220）,东汉
徐無,PL000000001260,CN0130281Z07AA,中研院歷史地名 ,40.189,118.056,中國-河北省-唐山市-遵化市,幽州刺史部,24,220,（24 ~ 220）,东汉
肥如,PL000000001289,CN0130283Z08AA,中研院歷史地名 ,40.0829,118.864,中國-河北省-唐山市-遷安市,幽州刺史部,24,220,（24 ~ 220）,东汉
令支,PL000000001296,CN0130283Z15AA,中研院歷史地名 ,40.0103,118.6017,中國-河北省-唐山市-遷安市,幽州刺史部,24,220,（24 ~ 220）,东汉
臨渝,PL000000001349,CN0130323Z20AA,中研院歷史地名 ,39.9065,119.3718,中國-河北省-秦皇島市-撫寧縣,幽州刺史部,24,220,（24 ~ 220）,东汉
邯鄲,PL000000001404,CN0130402Z11AA,中研院歷史地名 ,36.5927,114.4814,中國-河北省-邯鄲市-邯山區,冀州刺史部,24,220,（24 ~ 220）,东汉
鄴縣,PL000000001470,CN0130423Z11AA,中研院歷史地名 ,36.2817,114.4041,中國-河北省-邯鄲市-臨漳縣,冀州刺史部,24,220,（24 ~ 220）,东汉
元城,PL000000001527,CN0130425Z18AA,中研院歷史地名 ,36.3218,115.3135,中國-河北省-邯鄲市-大名縣,冀州刺史部,24,220,（24 ~ 220）,东汉
魏縣,PL000000001555,CN0130425Z46AA,中研院歷史地名 ,36.2625,115.094,中國-河北省-邯鄲市-大名縣,冀州刺史部,24,220,（24 ~ 220）,东汉
涉國,PL000000001572,CN0130426Z09AA,中研院歷史地名 ,36.5654,113.649,中國-河北省-邯鄲市-涉縣,冀州刺史部,24,220,（24 ~ 220）,东汉
梁期,PL000000001598,CN0130427Z02AA,中研院歷史地名 ,36.4734,114.4703,中國-河北省-邯鄲市-磁縣,冀州刺史部,24,220,（24 ~ 220）,东汉
列人,PL000000001622,CN0130428Z06AA,中研院歷史地名 ,36.6208,114.851,中國-河北省-邯鄲市-肥鄉縣,冀州刺史部,24,220,（24 ~ 220）,东汉
廣年,PL000000001643,CN0130429Z04AA,中研院歷史地名 ,36.797,114.6862,中國-河北省-邯鄲市-永年縣,冀州刺史部,24,220,（24 ~ 220）,东汉
易陽,PL000000001654,CN0130429Z15AA,中研院歷史地名 ,36.7102,114.6355,中國-河北省-邯鄲市-永年縣,冀州刺史部,24,220,（24 ~ 220）,东汉
