passageId,name,id,oldid,type,JingDu,WeuDu,HangZhengGou,Shu,start,end,dynasty,level
passage0,廣陽郡,PL000000000361,CN0110104Z01AA,中研院歷史地名 ,116.3671,39.8714,中國-北京市-市轄區-宣武區,幽州刺史部,24,220,東漢,郡
passage1,漁陽郡,PL000000000628,CN0110228Z41AA,中研院歷史地名 ,116.7519,40.3298,中國-北京市-縣-密雲縣,幽州刺史部,24,220,東漢,郡
passage2,常山國,PL000000001015,CN0130132Z04AA,中研院歷史地名 ,114.4514,37.8272,中國-河北省-石家莊市-元氏縣,冀州刺史部,24,220,東漢,郡
passage3,右北平郡,PL000000001184,CN0130208Z06AA,中研院歷史地名 ,118.2097,39.8058,中國-河北省-唐山市-豐潤區,幽州刺史部,24,220,東漢,郡
passage4,趙國,PL000000001394,CN0130402Z01AA,中研院歷史地名 ,114.4814,36.5927,中國-河北省-邯鄲市-邯山區,冀州刺史部,24,220,東漢,郡
passage5,魏郡,PL000000001471,CN0130423Z12AA,中研院歷史地名 ,114.4041,36.2817,中國-河北省-邯鄲市-臨漳縣,冀州刺史部,24,220,東漢,郡
passage6,鉅鹿郡,PL000000001965,CN0130528Z26AA,中研院歷史地名 ,114.8479,37.5136,中國-河北省-邢臺市-寧晉縣,冀州刺史部,24,220,東漢,郡
passage7,涿郡,PL000000002478,CN0130681Z17AA,中研院歷史地名 ,115.978,39.4865,中國-河北省-保定市-涿州市,幽州刺史部,24,220,東漢,郡
passage8,中山國,PL000000002523,CN0130682Z25AA,中研院歷史地名 ,114.9847,38.5194,中國-河北省-保定市-定州市,冀州刺史部,24,220,東漢,郡
passage9,上谷郡,PL000000002761,CN0130730Z20AA,中研院歷史地名 ,115.7113,40.2813,中國-河北省-張家口市-懷來縣,幽州刺史部,24,220,東漢,郡
passage10,勃海郡,PL000000003161,CN0130927Z10AA,中研院歷史地名 ,116.7259,38.0857,中國-河北省-滄州市-南皮縣,冀州刺史部,24,220,東漢,郡
