,tgaz_sys_id,tgaz_nm_py,tgaz_nm_simp,tgaz_nm_trad,tgaz_beg,tgaz_end,tgaz_data_source,tgaz_obj_type,tgaz_pres_loc,tgaz_prnt_id,tgaz_prnt_py,tgaz_prnt_simp,tgaz_prnt_sysid,tgaz_type_ch,tgaz_type_py,tgaz_x_coord,tgaz_y_coord,input_id,input_nm_py,input_nm_simp,input_nm_trad,input_type,input_year_beg,input_year_end,input_dynasty,input_other_id,input_prnt,input_obj_type,input_x_coord,input_y_coord,_merge,out_x_coord_match,out_y_coord_match,out_beg_match,out_end_match,out_content_match_strength
121,hvd_21,Tang Xian,唐县,唐縣,1820.0,1820.0,CHGIS,POINT,河北唐县,1996,Baoding Fu,保定府,hvd_9506,县,xian,114.9691,38.74149,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
122,hvd_610,Tang Xian,唐县,唐縣,1820.0,1820.0,CHGIS,POINT,河南唐河县,2077,Nanyang Fu,南阳府,hvd_9599,县,xian,112.83252,32.69771,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
123,hvd_44756,Tang Xian,唐县,唐縣,596.0,697.0,CHGIS,POINT,今河北省唐县驻地仁厚镇西南左人城,22939,Ding Zhou,定州,hvd_87842,县,xian,114.83747,38.73602,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
124,hvd_44757,Tang Xian,唐县,唐縣,698.0,908.0,CHGIS,POINT,今河北唐县驻地仁厚镇西南西城子村,22945,Ding Zhou,定州,hvd_87848,县,xian,114.85815,38.70744,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
125,hvd_44759,Tang Xian,唐县,唐縣,923.0,935.0,CHGIS,POINT,今河北唐县驻地仁厚镇西南西城子村,22951,Ding Zhou,定州,hvd_87854,县,xian,114.85815,38.70744,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
126,hvd_44761,Tang Xian,唐县,唐縣,947.0,1129.0,CHGIS,POINT,今河北唐县驻地仁厚镇西南西城子村,22951,Ding Zhou,定州,hvd_87854,县,xian,114.85815,38.70744,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
127,hvd_44762,Tang Xian,唐县,唐縣,1130.0,1911.0,CHGIS,POINT,今河北省唐县驻地仁厚镇,22957,Ding Zhou,定州,hvd_87860,县,xian,114.96915,38.74149,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
128,hvd_82643,Tang Xian,唐县,唐縣,1369.0,1911.0,CHGIS,POINT,今河南唐河,21439,Nanyang Fu,南阳府,hvd_84005,县,xian,112.83252,32.69771,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
129,hvd_87248,Tang Xian,唐县,唐縣,-221.0,13.0,CHGIS,POINT,今河北唐县北固城村,22281,Hengshan Jun,恒山郡,hvd_87077,县,xian,115.02762,38.82413,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
130,hvd_87250,Tang Xian,唐县,唐縣,23.0,0.0,CHGIS,POINT,今河北唐县北固城村,30755,Zhongshan Guo,中山国,hvd_112253,县,xian,115.02762,38.82413,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
131,hvd_121470,Tang Xian,唐县,唐縣,1911.0,1911.0,CHGIS,POINT,河北唐县治,33058,Baoding Fu,保定府,hvd_120154,县,xian,114.96915,38.74149,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
132,hvd_121924,Tang Xian,唐县,唐縣,1911.0,1911.0,CHGIS,POINT,河南唐河县县治,33130,Nanyang Fu,南阳府,hvd_120243,县,xian,112.83252,32.69771,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
133,hvd_196609,Tang Xian,唐县,唐縣,1911.0,1911.0,CHGIS,POLYGON,,75507,Baoding Fu,保定府,hvd_195209,县,xian,0.0,38.74149,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
134,hvd_196931,Tang Xian,唐县,唐縣,1911.0,1911.0,CHGIS,POLYGON,,75581,Nanyang Fu,南阳府,hvd_195296,县,xian,0.0,32.69771,PL000000002407,,,唐縣,,24.0,220.0,东汉,CN0130636Z06AA,冀州刺史部,,115.0748,38.8437,both,False,False,False,False,0
683,hvd_94,Ren Xian,任县,任縣,1820.0,1820.0,CHGIS,POINT,河北任县,2002,Shunde Fu,顺德府,hvd_9512,县,xian,114.68074,37.12608,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
684,hvd_44910,Ren Xian,任县,任縣,596.0,606.0,CHGIS,POINT,今河北任县驻地任城镇,29058,Xing Zhou,邢州,hvd_110104,县,xian,114.68074,37.12608,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
685,hvd_44911,Ren Xian,任县,任縣,621.0,1071.0,CHGIS,POINT,今河北任县驻地任城镇,29682,Xing Zhou,邢州,hvd_110957,县,xian,114.68074,37.12608,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
686,hvd_44912,Ren Xian,任县,任縣,1086.0,1264.0,CHGIS,POINT,今河北任县驻地任城镇,23128,Xing Zhou,邢州,hvd_88135,县,xian,114.68074,37.12608,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
687,hvd_44913,Ren Xian,任县,任縣,1275.0,1911.0,CHGIS,POINT,今河北任县驻地任城镇,23134,Shundelu,顺德路,hvd_88141,县,xian,114.68074,37.12608,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
688,hvd_87177,Ren Xian,任县,任縣,-221.0,0.0,CHGIS,POINT,今河北任县任城镇东南,22241,Julu Jun,巨鹿郡,hvd_87037,县,xian,114.71616,37.11118,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
689,hvd_121433,Ren Xian,任县,任縣,1911.0,1911.0,CHGIS,POINT,河北任县治,33053,Shunde Fu,顺德府,hvd_120149,县,xian,114.68074,37.12608,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
690,hvd_196589,Ren Xian,任县,任縣,1911.0,1911.0,CHGIS,POLYGON,,75502,Shunde Fu,顺德府,hvd_195204,县,xian,0.0,37.12608,PL000000001910,,,任縣,,24.0,220.0,东汉,CN0130526Z08AA,冀州刺史部,,114.7768,37.1295,both,False,False,False,False,0
1258,hvd_263,Cheng Xian,成县,成縣,1820.0,1820.0,CHGIS,POINT,甘肃成县,2019,Jie Zhou,阶州,hvd_9541,县,xian,105.73032,33.74356,PL000000021641,,,成縣,,24.0,220.0,东汉,CN0370921Z13AA,兗州刺史部,,117.188,35.8725,both,False,False,False,False,0
1259,hvd_45291,Cheng Xian,成县,成縣,90.0,220.0,CHGIS,POINT,今山东宁阳县东北东庄,30849,Jibei Guo,济北国,hvd_112361,县,xian,117.19174,35.84921,PL000000021641,,,成縣,,24.0,220.0,东汉,CN0370921Z13AA,兗州刺史部,,117.188,35.8725,both,False,False,False,True,1
1260,hvd_122224,Cheng Xian,成县,成縣,1911.0,1911.0,CHGIS,POINT,甘肃成县县治,33181,Jie Zhou,阶州,hvd_120313,县,xian,105.73032,33.74356,PL000000021641,,,成縣,,24.0,220.0,东汉,CN0370921Z13AA,兗州刺史部,,117.188,35.8725,both,False,False,False,False,0
1261,hvd_197256,Cheng Xian,成县,成縣,1911.0,1911.0,CHGIS,POLYGON,,75598,Jie Zhou,阶州,hvd_195322,县,xian,0.0,33.74356,PL000000021641,,,成縣,,24.0,220.0,东汉,CN0370921Z13AA,兗州刺史部,,117.188,35.8725,both,False,False,False,False,0
2253,hvd_436,Jiang Zhou,江州,江州,1820.0,1820.0,CHGIS,POINT,广西崇左县南江州,2248,Taiping Fu,太平府,hvd_9777,州,zhou,107.38284,22.31657,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2254,hvd_30121,Jiang Zhou,江州,江州,291.0,316.0,CHGIS,POINT,江西南昌市,32054,Xijin,西晋,hvd_113661,州,zhou,115.89772,28.6749,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2255,hvd_30122,Jiang Zhou,江州,江州,317.0,325.0,CHGIS,POINT,湖北鄂州市,32079,Dongjin,东晋,hvd_113686,州,zhou,114.87991,30.40272,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2256,hvd_30123,Jiang Zhou,江州,江州,326.0,339.0,CHGIS,POINT,江西九江市西南,32079,Dongjin,东晋,hvd_113686,州,zhou,115.98568,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2257,hvd_30124,Jiang Zhou,江州,江州,340.0,340.0,CHGIS,POINT,江西九江市西南,32079,Dongjin,东晋,hvd_113686,州,zhou,115.94367,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2258,hvd_30125,Jiang Zhou,江州,江州,341.0,342.0,CHGIS,POINT,江西南昌市,32079,Dongjin,东晋,hvd_113686,州,zhou,115.89772,28.6749,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2259,hvd_30126,Jiang Zhou,江州,江州,343.0,418.0,CHGIS,POINT,湖北武穴市东龙坪,32079,Dongjin,东晋,hvd_113686,州,zhou,115.69096,29.87422,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2260,hvd_30127,Jiang Zhou,江州,江州,419.0,588.0,CHGIS,POINT,江西九江市西南,32079,Dongjin,东晋,hvd_113686,州,zhou,115.94367,29.64157,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2261,hvd_32602,Jiang Zhou,江州,江州,589.0,606.0,CHGIS,POINT,江西九江市,32013,Sui,隋,hvd_113617,州,zhou,115.98568,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2262,hvd_32604,Jiang Zhou,江州,江州,621.0,741.0,CHGIS,POINT,江西九江市,32014,Tang,唐,hvd_113618,州,zhou,115.98568,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2263,hvd_32606,Jiang Zhou,江州,江州,758.0,1276.0,CHGIS,POINT,江西九江市,11123,Jiangnanxidao,江南西道都团练观察使,hvd_30131,州,zhou,115.98568,29.72236,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2264,hvd_34458,Jiang Zhou,江州,江州,619.0,622.0,CHGIS,POINT,今湖北省枝城市,\N,\N,\N,\N,州,zhou,111.45792,30.39239,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2265,hvd_34461,Jiang Zhou,江州,江州,619.0,620.0,CHGIS,POINT,今湖北长阳县西巴山河,\N,\N,\N,\N,州,zhou,110.8017,30.45259,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2266,hvd_34476,Jiang Zhou,江州,江州,585.0,597.0,CHGIS,POINT,今湖北长阳县西巴山河,\N,\N,\N,\N,州,zhou,110.8017,30.45259,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2267,hvd_44125,Jiang Zhou,江州,江州,972.0,1386.0,CHGIS,POINT,今广西崇左县南江州镇,32981,Zuojiang Dao,左江道,hvd_116219,羁縻州,ji mi zhou,107.38284,22.31657,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
2268,hvd_44126,Jiang Zhou,江州,江州,1644.0,1911.0,CHGIS,POINT,今广西崇左县南江州镇,11617,Taiping Fu,太平府,hvd_32460,土州,tu zhou,107.38284,22.31657,PL000000034086,,,江州,,24.0,220.0,东汉,CN0500105Z10AA,益州刺史部,,106.5539,29.6071,both,False,False,False,False,0
