input_id,input_nm_py,input_year_beg,input_year_end,input_x_coord,input_y_coord,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
PL000000000009,藍氏城,-400.0,-129.0,67.0556,36.8752,not_found,False,False,False,False,,0
PL000000000041,高德,-400.0,-129.0,69.2041,34.5789,not_found,False,False,False,False,,0
PL000000000362,薊縣,24.0,220.0,116.3671,39.8714,not_found,False,False,False,False,,0
PL000000000458,良鄉,24.0,220.0,116.0815,39.6439,not_found,False,False,False,False,,0
PL000000000464,廣陽,24.0,220.0,116.20100000000001,39.7549,not_found,False,False,False,False,,0
PL000000000498,狐奴,24.0,220.0,116.7611,40.1998,not_found,False,False,False,False,,0
PL000000000501,安樂,24.0,220.0,116.6065,40.17,not_found,False,False,False,False,,0
PL000000000536,軍都,24.0,220.0,116.2111,40.1569,not_found,False,False,False,False,,0
PL000000000541,昌平,24.0,220.0,116.2762,40.1128,not_found,False,False,False,False,,0
PL000000000577,平谷,24.0,220.0,117.1617,40.1764,not_found,False,False,False,False,,0
PL000000000595,傂奚,24.0,220.0,117.166,40.6592,not_found,False,False,False,False,,0
PL000000000604,獷平,24.0,220.0,117.1148,40.5952,not_found,False,False,False,False,,0
PL000000000627,漁陽,24.0,220.0,116.7519,40.3298,not_found,False,False,False,False,,0
PL000000000655,居庸,24.0,220.0,115.9783,40.459,not_found,False,False,False,False,,0
PL000000000705,雍奴,24.0,220.0,117.0257,39.5885,not_found,False,False,False,False,,0
PL000000000721,泉州,24.0,220.0,117.0058,39.3228,not_found,False,False,False,False,,0
PL000000000775,無終,24.0,220.0,117.4118,40.043,not_found,False,False,False,False,,0
PL000000000791,真定,24.0,220.0,114.5661,38.0911,not_found,False,False,False,False,,0
PL000000000812,井陘,24.0,220.0,114.0656,38.1939,not_found,False,False,False,False,,0
PL000000000853,新市,24.0,220.0,114.6918,38.2679,not_found,False,False,False,False,,0
PL000000000888,南行唐,24.0,220.0,114.5771,38.5591,not_found,False,False,False,False,,0
PL000000000907,靈壽,24.0,220.0,114.306,38.3259,not_found,False,False,False,False,,0
PL000000000930,高邑,24.0,220.0,114.6991,37.5848,not_found,False,False,False,False,,0
PL000000000931,房子,24.0,220.0,114.538,37.5839,not_found,False,False,False,False,,0
PL000000000952,南深澤,24.0,220.0,115.3338,38.1692,not_found,False,False,False,False,,0
PL000000000969,毋極,24.0,220.0,114.8374,38.1802,not_found,False,False,False,False,,0
PL000000001014,元氏,24.0,220.0,114.4514,37.8272,not_found,False,False,False,False,,0
PL000000001041,欒城,24.0,220.0,114.6854,37.7579,not_found,False,False,False,False,,0
PL000000001055,平棘,24.0,220.0,114.806,37.738,not_found,False,False,False,False,,0
PL000000001078,阜城,24.0,220.0,115.311,37.6915,not_found,False,False,False,False,,0
PL000000001085,九門,24.0,220.0,114.7318,38.1062,not_found,False,False,False,False,,0
PL000000001112,下曲陽,24.0,220.0,114.9898,38.0465,not_found,False,False,False,False,,0
PL000000001144,蒲吾,24.0,220.0,114.2876,38.228,not_found,False,False,False,False,,0
PL000000001183,土垠,24.0,220.0,118.2097,39.8058,not_found,False,False,False,False,,0
PL000000001201,海陽,24.0,220.0,118.6354,39.6997,not_found,False,False,False,False,,0
PL000000001260,徐無,24.0,220.0,118.056,40.189,not_found,False,False,False,False,,0
PL000000001289,肥如,24.0,220.0,118.86399999999999,40.0829,not_found,False,False,False,False,,0
PL000000001296,令支,24.0,220.0,118.6017,40.0103,not_found,False,False,False,False,,0
PL000000001349,臨渝,24.0,220.0,119.3718,39.9065,not_found,False,False,False,False,,0
PL000000001404,邯鄲,24.0,220.0,114.4814,36.5927,not_found,False,False,False,False,,0
PL000000001470,鄴縣,24.0,220.0,114.4041,36.2817,not_found,False,False,False,False,,0
PL000000001527,元城,24.0,220.0,115.3135,36.3218,not_found,False,False,False,False,,0
PL000000001555,魏縣,24.0,220.0,115.094,36.2625,not_found,False,False,False,False,,0
PL000000001572,涉國,24.0,220.0,113.649,36.5654,not_found,False,False,False,False,,0
PL000000001598,梁期,24.0,220.0,114.4703,36.4734,not_found,False,False,False,False,,0
PL000000001622,列人,24.0,220.0,114.851,36.6208,not_found,False,False,False,False,,0
PL000000001643,廣年,24.0,220.0,114.6862,36.797,not_found,False,False,False,False,,0
PL000000001654,易陽,24.0,220.0,114.6355,36.7102,not_found,False,False,False,False,,0
PL000000001658,曲梁,24.0,220.0,114.73899999999999,36.7087,not_found,False,False,False,False,,0
PL000000001681,曲周,24.0,220.0,115.0811,36.9001,not_found,False,False,False,False,,0
PL000000001709,斥丘,24.0,220.0,114.8475,36.3966,not_found,False,False,False,False,,0
PL000000001716,清淵,24.0,220.0,115.3895,36.6941,not_found,False,False,False,False,,0
PL000000001732,館陶,24.0,220.0,115.3076,36.5335,not_found,False,False,False,False,,0
PL000000001746,廣平,24.0,220.0,114.9722,36.8966,not_found,False,False,False,False,,0
PL000000001758,斥章,24.0,220.0,114.9426,36.7222,not_found,False,False,False,False,,0
PL000000001764,平恩,24.0,220.0,115.1131,36.7013,not_found,False,False,False,False,,0
PL000000001781,武安,24.0,220.0,114.1734,36.6753,not_found,False,False,False,False,,0
PL000000001815,襄國,24.0,220.0,114.5037,37.0656,not_found,False,False,False,False,,0
PL000000001859,中丘,24.0,220.0,114.4448,37.2766,not_found,False,False,False,False,,0
PL000000001887,柏人,24.0,220.0,114.6242,37.3531,not_found,False,False,False,False,,0
PL000000001910,任縣,24.0,220.0,114.7768,37.1295,not_found,False,False,False,False,,0
PL000000001926,平鄉,24.0,220.0,114.8839,37.0149,not_found,False,False,False,False,,0
PL000000001937,南和,24.0,220.0,114.6968,36.9988,not_found,False,False,False,False,,0
PL000000001952,楊氏,24.0,220.0,114.9249,37.6204,not_found,False,False,False,False,,0
PL000000001966,廮陶,24.0,220.0,114.8479,37.5136,not_found,False,False,False,False,,0
PL000000002001,鉅鹿,24.0,220.0,114.911,36.9889,not_found,False,False,False,False,,0
PL000000002026,經縣,24.0,220.0,115.266,37.1327,not_found,False,False,False,False,,0
PL000000002035,廣宗,24.0,220.0,115.34,36.973,not_found,False,False,False,False,,0
PL000000002080,南宮,24.0,220.0,115.3501,37.3778,not_found,False,False,False,False,,0
PL000000002122,北平,24.0,220.0,115.3431,39.0223,not_found,False,False,False,False,,0
PL000000002157,迺國,24.0,220.0,115.7176,39.391,not_found,False,False,False,False,,0
PL000000002192,北新城,24.0,220.0,115.5701,38.9951,not_found,False,False,False,False,,0
PL000000002206,范陽,24.0,220.0,115.6938,39.141999999999996,not_found,False,False,False,False,,0
PL000000002228,望都,24.0,220.0,115.0268,38.7722,not_found,False,False,False,False,,0
PL000000002249,高陽,24.0,220.0,115.913,38.6889,not_found,False,False,False,False,,0
PL000000002290,廣昌,24.0,220.0,114.7066,39.3844,not_found,False,False,False,False,,0
PL000000002356,故安,24.0,220.0,115.5788,39.2813,not_found,False,False,False,False,,0
PL000000002385,上曲陽,24.0,220.0,114.6694,38.6203,not_found,False,False,False,False,,0
PL000000002407,唐縣,24.0,220.0,115.0748,38.8437,not_found,False,False,False,False,,0
PL000000002421,蒲陰,24.0,220.0,115.2265,38.8108,not_found,False,False,False,False,,0
PL000000002430,蠡吾,24.0,220.0,115.4581,38.4401,not_found,False,False,False,False,,0
PL000000002442,安國,24.0,220.0,115.5961,38.3482,not_found,False,False,False,False,,0
PL000000002448,易縣,24.0,220.0,116.0689,39.0174,not_found,False,False,False,False,,0
PL000000002479,涿縣,24.0,220.0,115.978,39.4865,not_found,False,False,False,False,,0
PL000000002524,盧奴,24.0,220.0,114.9847,38.5194,not_found,False,False,False,False,,0
