fuzzy_nm,input_nm_trad,input_x_coord,input_year_beg,input_year_end,input_id,input_y_coord,input_dynasty,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
藍氏,藍氏城,67.0556,-400.0,-129.0,PL000000000009,36.8752,大月氏,not_found,False,False,False,False,,0
高德,高德,69.2041,-400.0,-129.0,PL000000000041,34.5789,大月氏,not_found,False,False,False,False,,0
薊縣,薊縣,116.3671,24.0,220.0,PL000000000362,39.8714,东汉,not_found,False,False,False,False,,0
良鄉,良鄉,116.0815,24.0,220.0,PL000000000458,39.6439,东汉,not_found,False,False,False,False,,0
廣陽,廣陽,116.20100000000001,24.0,220.0,PL000000000464,39.7549,东汉,not_found,False,False,False,False,,0
狐奴,狐奴,116.7611,24.0,220.0,PL000000000498,40.1998,东汉,not_found,False,False,False,False,,0
安樂,安樂,116.6065,24.0,220.0,PL000000000501,40.17,东汉,not_found,False,False,False,False,,0
軍都,軍都,116.2111,24.0,220.0,PL000000000536,40.1569,东汉,not_found,False,False,False,False,,0
昌平,昌平,116.2762,24.0,220.0,PL000000000541,40.1128,东汉,not_found,False,False,False,False,,0
平谷,平谷,117.1617,24.0,220.0,PL000000000577,40.1764,东汉,not_found,False,False,False,False,,0
傂奚,傂奚,117.166,24.0,220.0,PL000000000595,40.6592,东汉,not_found,False,False,False,False,,0
獷平,獷平,117.1148,24.0,220.0,PL000000000604,40.5952,东汉,not_found,False,False,False,False,,0
漁陽,漁陽,116.7519,24.0,220.0,PL000000000627,40.3298,东汉,not_found,False,False,False,False,,0
居庸,居庸,115.9783,24.0,220.0,PL000000000655,40.459,东汉,not_found,False,False,False,False,,0
雍奴,雍奴,117.0257,24.0,220.0,PL000000000705,39.5885,东汉,not_found,False,False,False,False,,0
泉州,泉州,117.0058,24.0,220.0,PL000000000721,39.3228,东汉,not_found,False,False,False,False,,0
無終,無終,117.4118,24.0,220.0,PL000000000775,40.043,东汉,not_found,False,False,False,False,,0
真定,真定,114.5661,24.0,220.0,PL000000000791,38.0911,东汉,not_found,False,False,False,False,,0
井陘,井陘,114.0656,24.0,220.0,PL000000000812,38.1939,东汉,not_found,False,False,False,False,,0
新市,新市,114.6918,24.0,220.0,PL000000000853,38.2679,东汉,not_found,False,False,False,False,,0
南行,南行唐,114.5771,24.0,220.0,PL000000000888,38.5591,东汉,not_found,False,False,False,False,,0
靈壽,靈壽,114.306,24.0,220.0,PL000000000907,38.3259,东汉,not_found,False,False,False,False,,0
高邑,高邑,114.6991,24.0,220.0,PL000000000930,37.5848,东汉,not_found,False,False,False,False,,0
房子,房子,114.538,24.0,220.0,PL000000000931,37.5839,东汉,not_found,False,False,False,False,,0
南深,南深澤,115.3338,24.0,220.0,PL000000000952,38.1692,东汉,not_found,False,False,False,False,,0
毋極,毋極,114.8374,24.0,220.0,PL000000000969,38.1802,东汉,not_found,False,False,False,False,,0
元氏,元氏,114.4514,24.0,220.0,PL000000001014,37.8272,东汉,not_found,False,False,False,False,,0
欒城,欒城,114.6854,24.0,220.0,PL000000001041,37.7579,东汉,not_found,False,False,False,False,,0
平棘,平棘,114.806,24.0,220.0,PL000000001055,37.738,东汉,not_found,False,False,False,False,,0
阜城,阜城,115.311,24.0,220.0,PL000000001078,37.6915,东汉,not_found,False,False,False,False,,0
九門,九門,114.7318,24.0,220.0,PL000000001085,38.1062,东汉,not_found,False,False,False,False,,0
下曲,下曲陽,114.9898,24.0,220.0,PL000000001112,38.0465,东汉,not_found,False,False,False,False,,0
蒲吾,蒲吾,114.2876,24.0,220.0,PL000000001144,38.228,东汉,not_found,False,False,False,False,,0
土垠,土垠,118.2097,24.0,220.0,PL000000001183,39.8058,东汉,not_found,False,False,False,False,,0
海陽,海陽,118.6354,24.0,220.0,PL000000001201,39.6997,东汉,not_found,False,False,False,False,,0
徐無,徐無,118.056,24.0,220.0,PL000000001260,40.189,东汉,not_found,False,False,False,False,,0
肥如,肥如,118.86399999999999,24.0,220.0,PL000000001289,40.0829,东汉,not_found,False,False,False,False,,0
令支,令支,118.6017,24.0,220.0,PL000000001296,40.0103,东汉,not_found,False,False,False,False,,0
臨渝,臨渝,119.3718,24.0,220.0,PL000000001349,39.9065,东汉,not_found,False,False,False,False,,0
邯鄲,邯鄲,114.4814,24.0,220.0,PL000000001404,36.5927,东汉,not_found,False,False,False,False,,0
鄴縣,鄴縣,114.4041,24.0,220.0,PL000000001470,36.2817,东汉,not_found,False,False,False,False,,0
元城,元城,115.3135,24.0,220.0,PL000000001527,36.3218,东汉,not_found,False,False,False,False,,0
魏縣,魏縣,115.094,24.0,220.0,PL000000001555,36.2625,东汉,not_found,False,False,False,False,,0
涉國,涉國,113.649,24.0,220.0,PL000000001572,36.5654,东汉,not_found,False,False,False,False,,0
梁期,梁期,114.4703,24.0,220.0,PL000000001598,36.4734,东汉,not_found,False,False,False,False,,0
列人,列人,114.851,24.0,220.0,PL000000001622,36.6208,东汉,not_found,False,False,False,False,,0
廣年,廣年,114.6862,24.0,220.0,PL000000001643,36.797,东汉,not_found,False,False,False,False,,0
易陽,易陽,114.6355,24.0,220.0,PL000000001654,36.7102,东汉,not_found,False,False,False,False,,0
曲梁,曲梁,114.73899999999999,24.0,220.0,PL000000001658,36.7087,东汉,not_found,False,False,False,False,,0
曲周,曲周,115.0811,24.0,220.0,PL000000001681,36.9001,东汉,not_found,False,False,False,False,,0
斥丘,斥丘,114.8475,24.0,220.0,PL000000001709,36.3966,东汉,not_found,False,False,False,False,,0
清淵,清淵,115.3895,24.0,220.0,PL000000001716,36.6941,东汉,not_found,False,False,False,False,,0
館陶,館陶,115.3076,24.0,220.0,PL000000001732,36.5335,东汉,not_found,False,False,False,False,,0
廣平,廣平,114.9722,24.0,220.0,PL000000001746,36.8966,东汉,not_found,False,False,False,False,,0
斥章,斥章,114.9426,24.0,220.0,PL000000001758,36.7222,东汉,not_found,False,False,False,False,,0
平恩,平恩,115.1131,24.0,220.0,PL000000001764,36.7013,东汉,not_found,False,False,False,False,,0
