fuzzy_nm,tgaz_prnt_py,tgaz_type_py,tgaz_x_coord,tgaz_beg,tgaz_pres_loc,tgaz_prnt_id,tgaz_end,tgaz_type_ch,tgaz_obj_type,tgaz_data_source,tgaz_nm_simp,tgaz_y_coord,tgaz_nm_py,tgaz_prnt_sysid,tgaz_sys_id,tgaz_nm_trad,tgaz_prnt_simp,input_nm_trad,input_dynasty,input_y_coord,input_x_coord,input_year_beg,input_year_end,input_id,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
藍氏,,,,,,,,,,,,,,,,,,藍氏城,大月氏,36.8752,67.0556,-400.0,-129.0,PL000000000009,not_found,False,False,False,False,,0
高德,,,,,,,,,,,,,,,,,,高德,大月氏,34.5789,69.2041,-400.0,-129.0,PL000000000041,not_found,False,False,False,False,,0
薊縣,,,,,,,,,,,,,,,,,,薊縣,东汉,39.8714,116.3671,24.0,220.0,PL000000000362,not_found,False,False,False,False,,0
良鄉,,,,,,,,,,,,,,,,,,良鄉,东汉,39.6439,116.0815,24.0,220.0,PL000000000458,not_found,False,False,False,False,,0
廣陽,,,,,,,,,,,,,,,,,,廣陽,东汉,39.7549,116.20100000000001,24.0,220.0,PL000000000464,not_found,False,False,False,False,,0
狐奴,,,,,,,,,,,,,,,,,,狐奴,东汉,40.1998,116.7611,24.0,220.0,PL000000000498,not_found,False,False,False,False,,0
安樂,,,,,,,,,,,,,,,,,,安樂,东汉,40.17,116.6065,24.0,220.0,PL000000000501,not_found,False,False,False,False,,0
軍都,,,,,,,,,,,,,,,,,,軍都,东汉,40.1569,116.2111,24.0,220.0,PL000000000536,not_found,False,False,False,False,,0
昌平,,,,,,,,,,,,,,,,,,昌平,东汉,40.1128,116.2762,24.0,220.0,PL000000000541,not_found,False,False,False,False,,0
平谷,,,,,,,,,,,,,,,,,,平谷,东汉,40.1764,117.1617,24.0,220.0,PL000000000577,not_found,False,False,False,False,,0
傂奚,,,,,,,,,,,,,,,,,,傂奚,东汉,40.6592,117.166,24.0,220.0,PL000000000595,not_found,False,False,False,False,,0
獷平,,,,,,,,,,,,,,,,,,獷平,东汉,40.5952,117.1148,24.0,220.0,PL000000000604,not_found,False,False,False,False,,0
漁陽,,,,,,,,,,,,,,,,,,漁陽,东汉,40.3298,116.7519,24.0,220.0,PL000000000627,not_found,False,False,False,False,,0
居庸,,,,,,,,,,,,,,,,,,居庸,东汉,40.459,115.9783,24.0,220.0,PL000000000655,not_found,False,False,False,False,,0
雍奴,,,,,,,,,,,,,,,,,,雍奴,东汉,39.5885,117.0257,24.0,220.0,PL000000000705,not_found,False,False,False,False,,0
泉州,,,,,,,,,,,,,,,,,,泉州,东汉,39.3228,117.0058,24.0,220.0,PL000000000721,not_found,False,False,False,False,,0
無終,,,,,,,,,,,,,,,,,,無終,东汉,40.043,117.4118,24.0,220.0,PL000000000775,not_found,False,False,False,False,,0
真定,,,,,,,,,,,,,,,,,,真定,东汉,38.0911,114.5661,24.0,220.0,PL000000000791,not_found,False,False,False,False,,0
井陘,,,,,,,,,,,,,,,,,,井陘,东汉,38.1939,114.0656,24.0,220.0,PL000000000812,not_found,False,False,False,False,,0
