fuzzy_nm,tgaz_nm_trad,tgaz_beg,tgaz_prnt_py,tgaz_sys_id,tgaz_prnt_sysid,tgaz_type_ch,tgaz_y_coord,tgaz_pres_loc,tgaz_prnt_simp,tgaz_end,tgaz_prnt_id,tgaz_nm_py,tgaz_type_py,tgaz_nm_simp,tgaz_obj_type,tgaz_data_source,tgaz_x_coord,input_x_coord,input_id,input_y_coord,input_dynasty,input_nm_trad,input_year_beg,input_year_end,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
曲陽,曲陽縣,1820.0,Ding Zhou,hvd_5,hvd_9500,县,38.62145,河北曲阳县,定州,1820.0,1990,Quyang,Xian,曲阳县,POINT,CHGIS,114.6902,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽縣,-201.0,Donghai Jun,hvd_42875,hvd_33396,县,34.09666,江苏沭阳县东汤涧镇南,东海郡,13.0,12124,Quyang Xian,Xian,曲阳县,POINT,CHGIS,119.01321000000002,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,True,False,False,,1
曲陽,曲陽縣,23.0,Donghai Jun,hvd_42877,hvd_33398,县,34.09666,江苏沭阳县东汤涧镇南,东海郡,204.0,12126,Quyang Xian,Xian,曲阳县,POINT,CHGIS,119.01321000000002,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,True,False,False,partial_incl_end_of_target,1
曲陽,曲陽侯國,205.0,Xiapi Guo,hvd_42878,hvd_33426,侯国,34.09666,江苏沭阳县东汤涧镇南,下邳国,243.0,12154,Quyang Houguo,Hou Guo,曲阳侯国,POINT,CHGIS,119.01321000000002,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,True,False,False,partial_incl_start_of_target,1
曲陽,曲陽縣,244.0,Xiapi Jun,hvd_42879,hvd_33427,县,34.09666,江苏沭阳县东汤涧镇南,下邳郡,279.0,12155,Quyang Xian,Xian,曲阳县,POINT,CHGIS,119.01321000000002,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,True,False,False,,1
曲陽,曲陽侯國,-27.0,\N,hvd_43128,\N,侯国,32.61999,安徽淮南市治东,\N,13.0,\N,Quyang Houguo,Hou Guo,曲阳侯国,POINT,CHGIS,117.16291000000001,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽縣,556.0,Ding Zhou,hvd_44819,hvd_87842,县,38.62145,今河北曲阳县驻地,定州,585.0,22939,Quyang Xian,Xian,曲阳县,POINT,CHGIS,114.6902,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽縣,820.0,Ding Zhou,hvd_44821,hvd_87853,县,38.62145,今河北曲阳县驻地,定州,1215.0,22950,Quyang Xian,Xian,曲阳县,POINT,CHGIS,114.6902,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽縣,1239.0,Zhongshan Fu,hvd_44822,hvd_87862,县,38.62145,今河北曲阳县驻地曲阳镇,中山府,1911.0,22959,Quyang Xian,Xian,曲阳县,POINT,CHGIS,114.6902,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽縣,1911.0,Ding Zhou,hvd_121394,hvd_120145,县,38.62145,河北曲阳县治,定州,1911.0,33049,Quyang Xian,Xian,曲阳县,POINT,CHGIS,114.6902,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽坪,1911.0,Nanzhang Xian,hvd_128084,hvd_121148,村镇,31.49113,湖北南漳县渠阳坪,南漳县,1911.0,33468,Quyangping,Cun Zhen,曲阳坪,POINT,CHGIS,111.81773999999999,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽集,1911.0,Zhengding Xian,hvd_133637,hvd_121418,村镇,38.23109,河北正定县曲阳桥,正定县,1911.0,33737,Quyangji,Cun Zhen,曲阳集,POINT,CHGIS,114.48518999999999,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
曲陽,曲陽縣,1911.0,Ding Zhou,hvd_196627,hvd_195210,县,38.62145,,定州,1911.0,75508,Quyang Xian,Xian,曲阳县,POLYGON,CHGIS,0.0,118.965,PL000000011237,34.0994,东汉,曲陽,24.0,220.0,found,False,False,False,False,,0
武邑,武邑縣,1820.0,Ji Zhou,hvd_7,hvd_9501,县,37.80599,河北武邑县,冀州,1820.0,1991,Wuyi,Xian,武邑县,POINT,CHGIS,115.89066000000001,115.9003,PL000000003485,37.8052,东汉,武邑,24.0,220.0,found,False,True,False,False,,1
武邑,武邑縣,1077.0,Ji Zhou,hvd_44885,hvd_88069,县,37.80599,今河北武邑县驻地武邑镇,冀州,1911.0,23087,Wuyi Xian,Xian,武邑县,POINT,CHGIS,115.89066000000001,115.9003,PL000000003485,37.8052,东汉,武邑,24.0,220.0,found,False,True,False,False,,1
武邑,武邑縣,-221.0,Julu Jun,hvd_87204,hvd_87037,县,37.80599,今河北武邑县武邑镇,巨鹿郡,13.0,22241,Wuyi Xian,Xian,武邑县,POINT,CHGIS,115.89066000000001,115.9003,PL000000003485,37.8052,东汉,武邑,24.0,220.0,found,False,True,False,False,,1
武邑,武邑縣,23.0,Xindou Jun,hvd_87206,hvd_87559,县,37.80599,今河北武邑县武邑镇,信都郡,0.0,22742,Wuyi Xian,Xian,武邑县,POINT,CHGIS,115.89066000000001,115.9003,PL000000003485,37.8052,东汉,武邑,24.0,220.0,found,False,True,False,False,ERROR__END_BEFORE_BEG,1
武邑,武邑縣,586.0,Ji Zhou,hvd_88093,hvd_112897,县,37.80599,今河北武邑县驻地武邑镇,冀州,1062.0,31322,Wuyi Xian,Xian,武邑县,POINT,CHGIS,115.89066000000001,115.9003,PL000000003485,37.8052,东汉,武邑,24.0,220.0,found,False,True,False,False,,1
武邑,武邑縣,1911.0,Ji Zhou,hvd_121454,hvd_120153,县,37.80599,河北武邑县治,冀州,1911.0,33057,Wuyi Xian,Xian,武邑县,POINT,CHGIS,115.89066000000001,115.9003,PL000000003485,37.8052,东汉,武邑,24.0,220.0,found,False,True,False,False,,1
武邑,武邑縣,1911.0,Ji Zhou,hvd_196604,hvd_195206,县,37.80599,,冀州,1911.0,75504,Wuyi Xian,Xian,武邑县,POLYGON,CHGIS,0.0,115.9003,PL000000003485,37.8052,东汉,武邑,24.0,220.0,found,False,True,False,False,,1
南宮,南宮縣,1820.0,Ji Zhou,hvd_8,hvd_9501,县,37.35915,河北南宫市,冀州,1820.0,1991,Nangong,Xian,南宫县,POINT,CHGIS,115.38006999999999,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,,0
南宮,南宮縣,1480.0,Ji Zhou,hvd_44880,hvd_88072,县,37.35915,今河北南宫市驻地,冀州,1911.0,23090,Nangong Xian,Xian,南宫县,POINT,CHGIS,115.38006999999999,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,,0
南宮,南宮縣,-221.0,Julu Jun,hvd_87207,hvd_87037,县,37.365629999999996,今河北南宫市西北旧城村,巨鹿郡,13.0,22241,Nangong Xian,Xian,南宫县,POINT,CHGIS,115.367,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,,0
南宮,南宮縣,23.0,Xindou Jun,hvd_87209,hvd_87559,县,37.365629999999996,今河北南宫市西北旧城村,信都郡,264.0,22742,Nangong Xian,Xian,南宫县,POINT,CHGIS,115.367,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,incoming_nested_in_target,0
南宮,南宮縣,586.0,Ji Zhou,hvd_88082,hvd_112897,县,37.365629999999996,今河北南宫市西旧城村,冀州,1479.0,31322,Nangong Xian,Xian,南宫县,POINT,CHGIS,115.367,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,,0
南宮,南宮縣,1911.0,Ji Zhou,hvd_121451,hvd_120153,县,37.35915,河北南宫市治,冀州,1911.0,33057,Nangong Xian,Xian,南宫县,POINT,CHGIS,115.38006999999999,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,,0
南宮,南宮井,1911.0,Xincheng Xian,hvd_134841,hvd_40123,村镇,39.187540000000006,河北新城县南宫井,新城县,1911.0,13405,Nangongjing,Cun Zhen,南宫井,POINT,CHGIS,116.17538,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,,0
南宮,南宮縣,1911.0,Ji Zhou,hvd_196599,hvd_195206,县,37.35915,,冀州,1911.0,75504,Nangong Xian,Xian,南宫县,POLYGON,CHGIS,0.0,115.3501,PL000000002080,37.3778,东汉,南宮,24.0,220.0,found,False,False,False,False,,0
饒陽,饒陽縣,1820.0,Shen Zhou,hvd_12,hvd_9502,县,38.24599,河北饶阳县,深州,1820.0,1992,Raoyang,Xian,饶阳县,POINT,CHGIS,115.73602,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,,0
饒陽,饒陽水堡,1820.0,Yan'an Fu,hvd_19785,hvd_9657,村镇,37.07206,延安定边县西南饶阳,延安府,1820.0,2135,Raoyangshuibao,Cun Zhen,饶阳水堡,POINT,CHGIS,107.31093,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,False,False,False,False,,0
饒陽,饒陽鎮,1820.0,Linqing Zhou,hvd_20519,hvd_9670,村镇,37.31118,河北故城县西饶阳店,临清州,1820.0,2148,Raoyangzhen,Cun Zhen,饶阳镇,POINT,CHGIS,115.83076000000001,115.8334,PL000000003523,38.2956,东汉,饒陽,24.0,220.0,found,True,False,False,False,,1
