fuzzy_nm,tgaz_sys_id,tgaz_nm_py,tgaz_nm_simp,tgaz_nm_trad,tgaz_beg,tgaz_end,tgaz_data_source,tgaz_obj_type,tgaz_pres_loc,tgaz_prnt_id,tgaz_prnt_py,tgaz_prnt_simp,tgaz_prnt_sysid,tgaz_type_ch,tgaz_type_py,tgaz_x_coord,tgaz_y_coord,input_id,input_nm_trad,input_year_beg,input_year_end,input_dynasty,input_prnt,input_x_coord,input_y_coord,match,fuzzy_out_x_coord_match,fuzzy_out_y_coord_match,out_beg_match,out_end_match,out_year_overlap,out_content_match_strength
曲陽,hvd_5,Quyang,曲阳县,曲陽縣,1820.0,1820.0,CHGIS,POINT,河北曲阳县,1990,Ding Zhou,定州,hvd_9500,县,Xian,114.6902,38.62145,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_42875,Quyang Xian,曲阳县,曲陽縣,-201.0,13.0,CHGIS,POINT,江苏沭阳县东汤涧镇南,12124,Donghai Jun,东海郡,hvd_33396,县,Xian,119.01321000000002,34.09666,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_42877,Quyang Xian,曲阳县,曲陽縣,23.0,204.0,CHGIS,POINT,江苏沭阳县东汤涧镇南,12126,Donghai Jun,东海郡,hvd_33398,县,Xian,119.01321000000002,34.09666,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,partial_incl_end_of_target,0
曲陽,hvd_42878,Quyang Houguo,曲阳侯国,曲陽侯國,205.0,243.0,CHGIS,POINT,江苏沭阳县东汤涧镇南,12154,Xiapi Guo,下邳国,hvd_33426,侯国,Hou Guo,119.01321000000002,34.09666,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,partial_incl_start_of_target,0
曲陽,hvd_42879,Quyang Xian,曲阳县,曲陽縣,244.0,279.0,CHGIS,POINT,江苏沭阳县东汤涧镇南,12155,Xiapi Jun,下邳郡,hvd_33427,县,Xian,119.01321000000002,34.09666,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_43128,Quyang Houguo,曲阳侯国,曲陽侯國,-27.0,13.0,CHGIS,POINT,安徽淮南市治东,\N,\N,\N,\N,侯国,Hou Guo,117.16291000000001,32.61999,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_44819,Quyang Xian,曲阳县,曲陽縣,556.0,585.0,CHGIS,POINT,今河北曲阳县驻地,22939,Ding Zhou,定州,hvd_87842,县,Xian,114.6902,38.62145,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_44821,Quyang Xian,曲阳县,曲陽縣,820.0,1215.0,CHGIS,POINT,今河北曲阳县驻地,22950,Ding Zhou,定州,hvd_87853,县,Xian,114.6902,38.62145,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_44822,Quyang Xian,曲阳县,曲陽縣,1239.0,1911.0,CHGIS,POINT,今河北曲阳县驻地曲阳镇,22959,Zhongshan Fu,中山府,hvd_87862,县,Xian,114.6902,38.62145,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
曲陽,hvd_121394,Quyang Xian,曲阳县,曲陽縣,1911.0,1911.0,CHGIS,POINT,河北曲阳县治,33049,Ding Zhou,定州,hvd_120145,县,Xian,114.6902,38.62145,PL000000011237,曲陽,24.0,220.0,东汉,徐州刺史部,118.965,34.0994,found,False,False,False,False,,0
