,mdb_id,sys_id,nm_py,nm_simp,nm_trad,x_coord,y_coord,pres_loc,type_py,type_simp,level,beg_yr,beg_rule,beg_type,end_yr,end_rule,end_type,note_id,obj_type,geo_src,compiler,geo_comp,checker,entry_date,filename,parent_counts
0,200001,hvd_200001,Baode Zhou,保德州,保德州,111.07948,39.0124,山西保德县城西侧,Zhou,州,6.0,1376,4.0,更名,1911,6.0,数据下限,0,POINT,FROM_AC,,,,,County_Point,2
1,95003,hvd_95003,Baode Xian,保德县,保德縣,111.07948,39.0124,山西保德县城西侧,Xian,县,6.0,1374,4.0,更名,1376,4.0,更名,95003,POINT,FROM_AC,,,,,County_Point,1
2,95004,hvd_95004,Hequ Xian,河曲县,河曲縣,111.21982,39.16981,山西河曲县旧县镇,Xian,县,6.0,1153,4.0,新建,1264,4.0,撤消,95004,POINT,FROM_AC,,,,,County_Point,2
3,95005,hvd_95005,Hequ Xian,河曲县,河曲縣,111.21982,39.16981,山西河曲县旧县镇,Xian,县,6.0,1298,4.0,新建,1367,4.0,撤消,95005,POINT,FROM_AC,,,,,County_Point,2
4,95006,hvd_95006,Hequ Xian,河曲县,河曲縣,111.21982,39.16981,山西河曲县旧县镇,Xian,县,6.0,1369,4.0,新建,1372,4.0,撤销,95006,POINT,FROM_AC,,,,,County_Point,1
5,95007,hvd_95007,Hequ Xian,河曲县,河曲縣,111.21982,39.16981,山西河曲县旧县镇,Xian,县,6.0,1380,4.0,新建,1764,4.0,治所迁移,95007,POINT,FROM_AC,,,,,County_Point,2
6,95008,hvd_95008,Hequ Xian,河曲县,河曲縣,111.13821999999999,39.38022,山西河曲县城,Xian,县,6.0,1765,4.0,治所迁移,1911,6.0,数据下限,95008,POINT,FROM_AC,,,,,County_Point,1
7,95009,hvd_95009,Huoshan Xian,火山县,火山縣,111.21982,39.16981,山西河曲县旧县镇,Xian,县,6.0,1067,4.0,新建,1070,4.0,撤消,95009,POINT,FROM_AC,,,,,County_Point,1
8,95010,hvd_95010,Beipingyi Xian,北平邑县,北平邑縣,113.74886000000001,40.02932,今山西大同市大同县许堡乡许堡村,Xian,县,6.0,97,4.0,新建,264,4.0,撤销,95010,POINT,FROM_AC,,,,,County_Point,1
9,95011,hvd_95011,Datong Xian,大同县,大同縣,113.29638,40.09283,今山西大同市,Xian,县,6.0,1045,4.0,新建,1911,6.0,数据下限,95011,POINT,FROM_AC,,,,,County_Point,4
10,95012,hvd_95012,Dingxiang Xian,定襄县,定襄縣,113.18177,40.190259999999995,今山西大同市西北约三十里,Xian,县,6.0,640,4.0,治所迁移,681,4.0,撤销,95012,POINT,FROM_FD,,,,,County_Point,1
11,95013,hvd_95013,Pingcheng Xian,平城县,平城縣,113.30753,40.105740000000004,今山西大同市北门外,Xian,县,6.0,-221,4.0,新建,13,3.0,更名,95013,POINT,FROM_FD,,,,,County_Point,2
12,95014,hvd_95014,Pingshun Xian,平顺县,平順縣,113.30753,40.105740000000004,今山西大同市北门,Xian,县,6.0,14,3.0,更名,22,3.0,更名,95014,POINT,FROM_FD,,,,,County_Point,1
13,95015,hvd_95015,Pingcheng Xian,平城县,平城縣,113.30753,40.105740000000004,今山西大同市北门,Xian,县,6.0,23,3.0,更名,212,4.0,撤销,95015,POINT,FROM_FD,,,,,County_Point,1
14,95016,hvd_95016,Pingcheng Xian,平城县,平城縣,113.29638,40.09283,今山西大同市,Xian,县,6.0,215,4.0,新建,525,4.0,撤销,95016,POINT,FROM_AC,,,,,County_Point,4
15,95017,hvd_95017,Pingyi Xian,平邑县,平邑縣,113.74886000000001,40.02932,今山西大同市大同县许堡乡许堡村,Xian,县,6.0,-221,4.0,新建,13,3.0,更名,95017,POINT,FROM_AC,,,,,County_Point,1
16,95018,hvd_95018,Pinghu Xian,平胡县,平胡縣,113.74886000000001,40.02932,今山西大同市大同县许堡乡许堡村,Xian,县,6.0,14,3.0,更名,24,3.0,撤销,95018,POINT,FROM_AC,,,,,County_Point,4
